id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.25099,-123.07457,Entire home/apt,375,5,31,2021-09-02,0.27,2,180,2,21-157259
507767,Level | One Bedroom Suite | Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.27741,-123.12292,Entire home/apt,250,30,3,2020-07-30,0.03,22,365,0,
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,,Kensington-Cedar Cottage,49.25759052108181,-123.06393290813176,Entire home/apt,1171,1,37,2021-09-27,0.37,1,344,7,21-157436
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27917,-123.06246,Entire home/apt,80,30,189,2021-10-11,1.65,2,297,4,19-114782
569160,5 min walk to St Paul’s hospital & Davie St.,2799473,Heath,,Downtown,49.27713,-123.13155,Entire home/apt,120,30,47,2021-10-31,0.42,1,62,3,Exempt
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Arash,,Downtown,49.27999,-123.1075,Entire home/apt,486,2,44,2021-08-15,0.43,2,328,6,21-156834
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26775,-123.06862,Entire home/apt,84,30,58,2021-09-01,0.52,1,1,1,20-154141
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29178,-123.14175,Entire home/apt,130,30,62,2021-09-04,0.60,1,165,4,19-104667
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.2506,-123.07175,Entire home/apt,77,30,22,2020-03-14,0.21,2,22,0,
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,94,31,27,2018-05-06,0.25,1,0,0,86-13134
703179,Entire cute  condo full of art,3246254,Izabela,,Downtown,49.27945,-123.10875,Entire home/apt,123,1,172,2021-11-30,1.58,1,32,15,21-157266
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28104,-123.13621,Entire home/apt,135,30,83,2021-12-05,0.80,1,365,7,
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.26026,-123.18195,Entire home/apt,150,31,11,2020-06-04,0.11,1,190,0,
735468,English Bay Views,3462044,Shea,,West End,49.28059,-123.1364,Entire home/apt,175,1,135,2021-11-13,3.07,1,322,19,21-246903
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25996,-123.16653,Entire home/apt,125,2,78,2021-01-23,0.76,1,0,1,21-157483
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24438,-123.04453,Entire home/apt,51,5,180,2021-05-29,1.65,1,10,3,21-156581
771366,Level | Studio | Lux Amenities Downtown Vancouver,2502595,Level Hotels & Furnished Suites,,Downtown,49.2794,-123.12181,Entire home/apt,230,30,4,2020-09-04,0.04,22,364,0,
771380,Level | Two Bedroom Suite | Lux Amenities Downtown,2502595,Level Hotels & Furnished Suites,,Downtown,49.27918,-123.12187,Entire home/apt,385,30,7,2014-10-01,0.07,22,365,0,
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26186,-123.17438,Entire home/apt,83,30,51,2021-09-11,0.47,3,222,5,Long Term Listing
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26355,-123.17326,Private room,47,14,68,2021-11-06,0.62,3,148,9,21-156493
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26213,-123.17482,Entire home/apt,114,30,3,2016-09-17,0.03,3,201,0,
796603,Exellent for International Student,4196444,Milorad,,West End,49.28087,-123.13525,Shared room,30,30,0,,,1,0,0,
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25804,-123.12119,Entire home/apt,68,30,23,2021-10-26,0.22,3,231,2,
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28618,-123.05403,Entire home/apt,84,31,64,2021-10-03,0.59,1,143,2,
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,,Downtown,49.27317,-123.11961,Entire home/apt,170,30,6,2021-10-31,0.08,1,313,3,
874731,Sunny room with private bathroom and large patio,2216706,Matthew,,Fairview,49.25785,-123.12199,Private room,109,6,54,2021-10-13,0.52,1,78,4,21-157290
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.27073,-123.16325,Entire home/apt,275,7,33,2021-09-06,0.31,1,23,1,21-157046
